,Q5017_27-32nt,Q5019_27-32nt,Q5020_27-32nt,Q5033_27-32nt,Q5034_27-32nt,Q5035_27-32nt,Q5041_27-32nt,Q5042_27-32nt,Q5043_27-32nt,Q5334_27-32nt,Q5337_27-32nt,Q5338_27-32nt,R4816_27-32nt,R4816_37-43nt,R4816minus_20-23nt,R4816minus_20-32nt,R4816minus_27-32nt,R4819_27-32nt,R4819_37-43nt,R4819minus_20-23nt,R4819minus_20-32nt,R4819minus_27-32nt,R4869_27-32nt,R4869minus_20-23nt,R4869minus_20-32nt,R4869minus_27-32nt,R4870_27-32nt,R4870minus_20-23nt,R4870minus_20-32nt,R4870minus_27-32nt,R4902_27-32nt,R4902_37-43nt,R4903_27-32nt,R4903_37-43nt
YBR236C_mRNA,30.67,26.84,30.89,37.05,29.91,22.51,28.46,20.79,22.23,27.28,27.01,27.65,44.1,0,16.41,27.67,88.34,14.1,31.7,20.15,29.74,82.03,36.9,0,46.7,120.53,22.13,37.93,38.97,41.19,0,0,0,0
YKL112W_mRNA,21.8,19.7,24.37,21.55,23.97,20.37,15.36,17.22,15.75,16.36,14.61,19.24,45.53,251.34,16.23,15.78,13.41,30.82,0,30.65,43.96,116.24,13.45,27.93,45.47,73.2,20.48,17.49,27.46,46.9,59.44,0,65,0
YMR072W_mRNA,88.75,95.26,74.78,119.75,70.42,100.37,104.6,74.25,102.12,91.12,68.54,80.97,127.64,0,172.95,156.43,68.49,116.59,0,72.49,69.89,56.53,137.32,94.37,57.61,0,60.99,160.39,134.72,85.16,160.19,0,26.03,0
YJR108W_mRNA,1.65,2.16,1.28,5.04,4.01,5.33,0,0,0,5.91,4.15,4.17,0,0,9.84,8.29,0,0,0,0,0,0,0,0,0,0,5.09,0,0,0,0,0,0,0
YCR088W_mRNA,72.52,62.57,52.37,74.8,68.89,67.72,58.81,49.8,72.72,61.53,52.9,58.69,198.2,0,144.84,150.24,179.69,170.42,269.79,160.21,138.45,21.19,105.8,89.03,54.35,0,131.45,141.22,129.77,107.72,101.12,0,175.62,50.39
YOR239W_pre-mRNA,46,40.8,38.08,36.91,46.38,40.41,30.7,45.88,41.11,39.06,37.64,42.14,51.99,88.37,68.41,64.87,45.95,88,65.82,62.98,56.08,18.96,53.75,159.44,113.54,41.79,63.58,57.8,52.71,42.85,53.74,0,157.18,45.07
YNR033W_mRNA,30.07,28.34,21.75,24.31,30.68,25.58,12.58,22.55,24.56,23.65,20.93,25.69,12.53,0,30.38,29.54,25.09,22.43,0,28.68,24.19,0,16.77,0,10.64,27.39,31.73,39.98,29.47,8.78,25.49,0,42.92,0
YMR289W_mRNA,17.47,16,10.58,11.31,10.8,18.65,0,12.29,10.7,10.61,14.1,16.54,0,69.21,41.93,34.17,0,0,206.21,16.37,13.81,0,47.98,8.29,5.06,0,18.27,8.45,5.6,0,0,0,61.39,0
YER045C_mRNA,2.04,2.19,2.15,4.26,6.1,1.8,0,1.54,3.02,2.85,4.01,4.23,7.2,0,6.7,5.65,0,0,0,0,0,0,0,0,0,0,4.3,4.25,2.82,0,0,0,0,0
YGR037C_mRNA,298.63,355.07,342.39,369.61,408.56,332.87,515.66,443.07,594.68,389.46,369.15,382.28,730.37,493.19,363,437.06,844.06,589.11,897.94,305.54,257.75,0,893.23,502.77,472.15,429.93,660.43,433.79,509.95,669.07,623.43,132.25,1154.94,2851.03
YNR016C_mRNA,407.42,432.26,437.36,413.09,433.88,398.23,308.03,383.15,378.51,418.27,413.93,425.69,268.84,263.94,310.9,314.58,334.22,271.06,268.84,299.91,306.78,343.87,342.95,386.44,383.83,380.22,300.73,326.81,306.91,267.79,258.17,196,254.97,151.89
YLR131C_mRNA,15.4,18.92,16.06,24.19,13.96,18.93,9.16,15.33,11.45,17.23,16.51,17.02,46,0,11.91,12.05,12.8,6.54,128.22,0,0,0,2.14,0,0,0,26.25,12.08,13.02,14.92,4.73,0,0,0
YLR144C_mRNA,16.28,17.83,13.32,16.76,20.49,15.94,27.2,11.92,9.91,17.25,16.9,23.45,0,0,17.69,17.89,19,43.65,0,5.79,14.65,62.72,27.51,0,0,0,21.75,20.92,18.83,14.76,23.38,0,18.05,0
YJR083C_mRNA,11.2,8.76,8.68,9.89,5.78,7.81,19.98,3.58,10.93,7.96,8.38,6.92,11.15,0,12.95,10.91,0,28.51,200.7,0,0,0,0,9.66,5.89,0,13.32,0,8.71,26.03,0,0,0,0
YBL015W_mRNA,30.63,35.07,31.1,25.86,32.73,46.61,23.12,23.03,24.07,27.28,27.73,32.52,60.66,51.79,53.43,50.64,35.88,77.87,0,69.62,107.1,310.96,68.94,0,56.96,146.86,40.23,31.72,39.3,54.37,62.94,0,97.17,0
YDL203C_mRNA,7,10.18,11.28,5.12,10.18,4.64,6.64,5.3,8.65,8.33,11.7,11.7,24.71,89.25,25.91,29.11,46.41,3.95,22.16,28.4,24.1,0,0,0,0,0,12.55,9.12,14.52,25.25,71.41,0,0,0
YPL267W_mRNA,24.61,18.91,13.73,37.32,21.61,22.96,0,12.29,18.73,18.95,13.84,19.35,95.58,0,33.52,32.69,23.93,12.22,0,65.1,109.84,355.57,31.99,0,80.48,208.98,22.84,22.41,18.57,11.16,0,0,0,142.28
YLR304C_mRNA,458.09,361.62,317.37,495.15,506.06,546.29,252.34,275.62,289.24,456.23,496.09,566.39,313.93,548.17,452.12,427.81,297.94,424.1,199.61,525.61,483.68,251.16,341.08,184.88,139.72,69.19,217.76,258.84,257.97,257.16,458.86,29.4,397.56,149.12
YJL200C_mRNA,78.54,77.6,70.04,84,85,88.06,64.53,76.07,86.1,83.47,93.12,104.63,77.49,144.32,60.22,59.6,56.33,46.35,143.33,120.18,113.45,77.5,64.84,82.58,164.5,293.77,68.68,88.64,88.17,87.56,32.36,0,49.96,0
YKL192C_mRNA,253.12,156.47,188.97,265.98,173.45,193.86,205.77,204.99,143.97,160.27,139.82,166.31,454.36,0,330.81,320.64,269.45,611.59,434.81,338.39,285.46,0,250.13,431.75,263.55,0,399.95,447.24,435.6,418.81,254.31,0,358.46,0
YAL054C_mRNA,1.41,1.25,0.49,0.97,0.26,1.37,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YLR153C_mRNA,422.41,380.86,345.88,377.01,369.7,394.42,184.25,275.92,346.9,342.61,359.37,403.94,413.84,702.97,568.68,592.13,724.68,380.47,581.77,662.44,752.08,1241.05,436.83,564.09,579.62,606.18,502.14,591.32,567,521.08,530.26,282.75,378.41,79.68
YFL039C_mRNA,5143.4,5230.59,5879.71,5371.09,5176.11,5493.11,5047.29,5160.87,4993.94,4951.85,5219.48,4927.05,3570.21,2724.3,2893.56,2812.01,2383.18,3480.84,2036.74,2184.27,2352.2,3278.52,3819.3,2825.91,2880.87,2982.73,4150.86,3327.33,3432.87,3659.71,3418.81,689.48,2379.28,1686.26
YFL039C_pre-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR448W_mRNA,17.18,18.2,18.2,15.99,18.29,18.59,9.08,13.57,16.55,18.75,11.28,15.16,8.44,0,6.04,5.1,0,35.09,0,43.41,36.62,0,42.39,0,40.25,103.85,30.26,12.45,14.86,19.72,54.66,0,0,0
YMR184W_mRNA,32,31.51,25.98,50.17,30.65,24.67,35.36,38.04,44.18,32.85,30.2,36.06,0,215.95,13.68,19.21,49.38,12.61,0,11.19,9.44,0,57.76,0,0,0,14.14,75.11,61.3,34.54,72.95,0,0,0
YKL206C_mRNA,83.02,90.97,79.55,78.18,93.7,80.66,31.24,76.25,42.7,84.08,72.78,76.81,29.04,52.79,37.04,62.43,199.99,116.06,104.85,8.27,69.72,405.19,121.52,24.42,99.59,218.29,98.89,98.14,70.74,16.96,80.57,0,0,0
YAR015W_mRNA,45.82,61.26,65.6,69.01,77.14,60.14,63.36,90.9,59.39,78.97,73.48,86.56,11.78,0,90.29,92.24,103.26,71.57,84.89,255.23,215.31,0,123.24,21.21,13.56,0,67.56,97.09,91.98,82.54,5.45,0,42.05,0
YNL220W_mRNA,51.62,50.61,47.78,65.06,60.15,71.45,63.59,46.56,76.98,69.64,67.41,61.96,22.17,0,37.13,34.77,22.21,17.01,0,116.45,98.23,0,59.37,100,61.04,0,18.01,88.91,74.6,46.59,28.7,0,82.29,0
YLR359W_mRNA,56.64,55.18,50.68,44.47,53.29,55.43,42.55,57.65,34.34,46.75,53.53,61.99,51.42,114.45,89.02,80.9,39.62,40.47,56.83,90.41,83.9,49.05,92.68,82.4,50.3,0,59.54,108.96,98.75,78.52,0,0,22.59,0
YLR028C_mRNA,75.74,71.27,58,74.83,57.52,63.92,67.02,74.11,57.58,57.82,57.59,60.42,105.93,135.03,72.51,75.8,93.61,81.67,67.05,71.27,66.14,38.63,106.88,119.09,85.91,34.06,97.51,76.71,70.49,58.2,155.57,0,200.14,0
YMR120C_mRNA,15.64,24.77,24.1,27.33,25.49,23.45,21.29,32.53,21.25,23.82,28.85,23.49,3.3,0,9.22,9.07,8.26,8.44,0,15.09,12.73,0,0,0,0,0,11.83,6.45,4.16,0,21.36,0,0,0
YOR128C_mRNA,5.57,5.48,3.88,10.66,12.89,9.37,2.58,0.77,3.03,9.43,13.24,14.58,0,0,5.03,4.24,0,0,0,12.35,10.42,0,0,0,0,0,0,4.25,5.64,8.41,46.63,0,0,0
YGR204W_mRNA,139.28,137.27,110.2,156.07,145.4,128.04,145.26,134.49,159.7,125.23,129.11,125.1,218,444.76,299.86,298.61,292.22,363.24,141.97,204.25,206.34,218.45,326.14,356.21,250.18,84.25,252.01,225.18,221.84,215.96,211.77,306.68,314.35,421.32
YMR300C_mRNA,59.57,64.03,62.7,53.41,70.42,57.52,45.51,58.19,74.06,71.6,67.74,70.69,3.53,0,73.9,73.36,70.63,56.36,0,32.25,30.61,21.86,50.16,110.23,67.29,0,64.03,43.71,38.65,28.82,75,0,60.41,0
YGL234W_mRNA,127.14,132.63,131.45,106.31,127.91,108.11,153.83,117.37,127.92,135.72,138.85,145.36,70.67,255.02,118.78,130.31,202.23,106.5,54.27,187.79,177.92,125.19,92.92,267.69,275.69,289.71,129.65,184.95,186.94,191.54,105.02,0,313.46,37.17
YGR061C_mRNA,151.65,166.9,159.8,131.63,146.51,150.97,138.73,171.35,211.2,161.12,165.13,183.48,131.5,141.59,127.71,127.27,124.89,123.7,118.98,168.03,170.8,187.43,175.8,186.82,186.31,185.89,191.04,133.26,166.65,232.94,127.19,245.18,166.15,0
YDR408C_mRNA,65.31,82.98,77.86,75.5,69.35,58.13,58.66,64.86,68.72,90.83,76.07,82.8,106.34,59.56,94.72,111.77,204.83,26.15,0,213.93,204.02,152.16,177.97,437.98,275.97,22.36,99.68,125.62,99.52,47.75,143.72,0,23.36,0
YCL058W-A_mRNA,15.97,23.18,20.52,25.11,35.37,14.7,58.52,38.48,59.42,22.01,28.18,24.52,0,0,67.4,88.36,204.36,0,0,147.07,124.07,0,122.93,0,187.5,490.73,11.7,75.93,81.82,95.29,0,0,0,0
YOL086C_mRNA,7185.93,6966.62,6255.21,6497.73,6684.84,6082.43,7219.92,6949.15,7026.1,6764.36,7239.27,7218.48,6784.79,2065.71,6410.53,7036.32,10440.03,6041.27,1504.41,6609.04,7082.08,9691.99,8780.39,11645.44,10874.06,9717.73,9179.35,7949.45,7606.11,6974,8769.92,4043.6,8137.13,2809.78
YMR303C_mRNA,1.21,0.93,2.4,4.52,3.44,0,0,0,0,0.54,2.16,1.33,19.28,0,21.7,26.85,50.11,7.89,0,26.03,27.37,37.44,15.94,21.54,18.95,14.65,13.81,17.51,14.46,9.05,89.3,0,0,0
YMR083W_mRNA,174.04,145.55,139.32,160.01,140.85,129.11,65.7,195.56,283.24,152.6,131.42,144.78,128.27,0,211.31,202.59,156,140.59,131.57,117.45,109.67,68.17,64.4,151.76,232.69,360.57,139.22,101.17,125.99,175.43,149.11,0,104.63,216.24
YGL256W_mRNA,8.09,4.26,4.38,5.19,4.48,4.02,5.24,1.57,2.05,4.35,7.53,5.49,0,0,0,2.87,18.3,0,0,0,0,0,0,0,34.86,89.89,6.11,4.31,2.86,0,0,0,0,0
YBR145W_mRNA,5.37,12.52,9.53,11.68,9.31,17.05,7.87,12.93,7.68,10.01,10.08,16.83,0,0,8.43,7.05,0,0,0,93.33,79.77,0,0,38.19,21.03,0,7.87,9.7,6.43,0,0,0,0,0
YMR318C_mRNA,198.35,258.42,255.46,204.08,214.74,222.71,238.1,206.05,199.85,231.93,194.01,219.1,198.24,0,156.69,159.23,173.74,234.49,0,214.96,219.52,245.84,170.03,85.93,78.67,67.73,161.04,116.82,118.14,121.52,174.15,346.59,141.5,0
YCR105W_mRNA,0.51,0.25,1.18,0.58,2.78,0,0,1.05,0,1.17,1.37,0.96,0,0,0,0,0,12.58,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0
YMR009W_mRNA,74.1,87.56,68.3,96.26,89.72,83.41,49.8,57.41,55.56,94.43,76.24,84.87,89.29,362.14,41.31,38.66,24.84,145.9,431.57,90.06,75.97,0,91.32,205.2,125.26,0,149.34,63.93,96.36,162.17,73.39,0,169.96,0
YDR226W_mRNA,797.82,810.61,817.89,811.45,635.88,682.52,914.12,852.51,782.77,698.05,666.24,736.17,537.57,335.21,551.54,578.82,730.71,574.49,55.48,680.62,640.54,428.55,758.29,929.13,785.87,566.69,581.65,658.6,685.02,744.21,930.3,0,1107.29,0
YER170W_mRNA,21.75,18.83,21.45,12.87,19.89,10.25,9.18,17.83,26.88,19.8,25.3,25.07,38.4,0,20.79,17.52,0,32.73,0,0,0,0,37.48,0,0,0,6.12,52.33,37.12,7.47,0,0,0,0
YJR105W_mRNA,620.51,593.32,530.9,481.82,527.35,510.19,471.51,564.97,638.55,533.51,510.27,577.9,512.78,87.55,499.03,519.71,649.54,644.14,260.84,617.96,585.79,411.45,928.84,1055.02,1032.96,1005.74,798.52,628.79,772.37,1063.57,574.59,0,1110.97,1518.37
YCR011C_mRNA,35.24,33.11,34.15,30.85,29.73,30.81,23.9,27.31,37.33,33.74,30.46,34.31,43.13,0,22.34,23.33,29.45,31.33,0,2.02,13.23,72.94,16.41,71.63,99.95,144.67,29.51,54.48,43.04,20.6,39.89,0,2.8,0
YDR216W_mRNA,7.18,4.09,5.1,14.48,13.13,13.33,0,1.66,5.21,5.65,5,7.89,1.55,0,2.89,2.44,0,1.98,0,5.33,4.5,0,0,0,0,0,2.22,0,0,0,2.87,0,0,22.78
YCR010C_mRNA,0,0.61,0.36,0.71,0,0,0,0,0,0.47,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL239C_mRNA,0.39,0.51,0.3,1.18,0,0.25,0,0,0,0.2,0.97,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YLR227C_mRNA,3.51,3.65,3.4,4.03,9.63,4.17,0,1.62,5.3,6.91,6.54,5.69,0,0,0,0,0,4.84,0,0,0,0,0,0,0,0,0,0,2.96,8.85,31.53,0,0,0
YMR064W_mRNA,13.84,14.73,17.6,23.43,15.73,16.35,23.43,14,12.2,17.61,23.85,16.59,7.26,0,11.83,9.97,0,6.96,0,0,0,0,0,0,0,0,10.41,4.29,9.95,21.19,0,0,0,0
YMR282C_mRNA,9.15,7.68,8.27,10.12,9.92,9.22,16.51,8.46,7.37,12,8.98,10.1,13.16,0,13.79,15.5,24.71,4.21,0,3.76,3.17,0,0,80.01,48.84,0,11,0,0,0,33.46,0,0,0
YPL005W_mRNA,3.91,5.78,4.17,2.25,2.39,4.12,9.08,2.04,2.66,2.51,2.47,2.89,15.83,0,0,0,0,0,0,3.62,3.05,0,0,0,0,0,0,18.69,12.4,0,0,0,0,0
YLR040C_mRNA,13.62,8.43,14.02,7.15,5.69,15.12,0,1.62,6.35,151.61,176.69,205.73,0,494.58,3.5,2.95,0,9.66,272.87,0,0,0,0,0,0,0,9.03,8.88,5.89,0,0,0,0,0
YEL052W_mRNA,22.97,24.7,16.66,26.63,28.53,28.67,17.61,21.05,21.77,21.42,17.09,21.38,0,0,15.24,16.05,20.49,44.48,0,125.59,114.3,50.75,30.82,0,91.04,234.86,18.58,43.45,35.22,19.11,0,0,5.84,0
YLR397C_mRNA,23.3,26.41,20.31,23.96,21.06,16.84,22.63,29.3,23.56,22.73,18.3,21.98,63.11,18.98,77.44,76.63,72.43,35.31,0,66.22,76.17,130.44,39.61,32,19.53,0,40.84,46.62,47.4,49.12,53.5,0,60.06,38.73
YER017C_mRNA,19.42,20.17,20.1,27.2,18.25,21.2,16.67,16.61,15.91,14.14,13.95,20.74,41.32,0,20.47,19.28,12.93,18.17,0,41.39,34.92,0,2.16,35.92,21.93,0,9.26,48.84,36.44,12.06,35.83,0,29.5,0
YOR129C_mRNA,4.81,4.63,2.26,2.9,4.4,4.45,1.6,1.91,3.11,4.41,2.85,4.36,11.12,0,3.11,2.62,0,7.11,0,0,0,0,0,0,0,0,2.66,1.32,1.75,2.6,2.06,0,0,0
YDR085C_mRNA,3.99,2.52,1.49,4.77,5.26,5.9,0,1.33,2.61,4.43,3.63,4.05,0,0,11.56,9.75,0,0,111.27,0,0,0,0,0,0,0,3.71,0,0,0,0,0,35.43,0
YGL071W_mRNA,6.1,7.3,9.96,9.01,7.17,3.39,4.05,13.3,13.43,8.72,7.85,9.58,8.46,0,6.57,6.65,7.06,0,0,19.37,16.34,0,11.8,0,0,0,23.59,5,5.53,6.59,0,0,0,0
YPL202C_mRNA,16.92,12.54,18.28,24.23,16.02,16.24,5.54,19.05,9.74,20.54,18.94,17.16,3.86,0,25.19,21.23,0,34.59,27.76,17.67,14.9,0,32.34,0,0,0,22.16,6.84,4.54,0,0,0,38.62,0
YNR044W_mRNA,10.98,11.5,13.08,2.55,3.81,3.51,3.87,13.3,12.84,6.63,5.56,6.7,21.59,0,2.52,2.12,0,1.73,0,21.62,18.23,0,0,9.38,5.73,0,5.8,30.29,32.77,37.8,0,0,0,0
YGL032C_mRNA,31.93,30.77,26.06,24.97,31.06,44.88,0,48.05,3.69,1.05,2.94,0,13.19,0,60.73,66.54,99.08,25.3,384.44,14.91,12.58,0,55.18,249.11,152.06,0,53.57,53.87,86.77,153.99,48.79,0,0,0
YPR021C_mRNA,11.4,9.43,12.85,8.64,13.13,14.39,1.59,8.53,7.43,10.88,12.32,16.18,0,0,10.32,8.7,0,1.41,0,0,0,0,0,0,0,0,6.87,0,2.6,7.75,34.78,0,3.16,0
YDR524C_mRNA,13.92,9.01,10.17,12.34,8,11.98,11.08,9.1,12.98,12.25,7.31,13.87,0,0,12.59,10.61,0,0,0,44.14,37.24,0,0,0,0,0,7.38,4.56,12.09,27.06,0,0,5.51,0
YIL044C_mRNA,61.98,62.58,61.85,63.28,76.72,70.56,74.09,54.7,56.16,65.56,70.05,77.79,127.63,0,62.08,57.08,30.44,46.63,0,110.84,93.51,0,35.6,0,19.27,49.83,36.3,75.03,64.02,42.58,16.86,0,130.14,0
YCL025C_mRNA,68.13,75.5,77.13,58.38,66.32,76.72,73.96,105.12,83.28,68.83,71.5,72.57,49.42,141.69,138.87,143.76,163.68,107.19,187.62,128.92,159.73,283.69,78.03,39.74,55.45,80.39,63.91,77.9,57.58,19.08,66.49,0,79.32,0
YBR132C_mRNA,10.75,13.52,7.31,14.82,17.85,13.82,18.43,5.51,5.4,10.19,9.66,9.44,19.27,0,14.96,13.87,8.04,47.23,0,0,6.2,39.83,13.44,0,0,0,6.91,11.38,7.55,0,0,0,0,0
YFL055W_mRNA,1.75,1.21,2.04,0.81,1.92,2.38,0,2.92,0,0.81,0.95,1.56,20.42,0,6.34,5.34,0,0,0,0,6.57,42.2,0,0,0,0,0.81,0,0,0,0,0,0,0
YFL030W_mRNA,1.1,1.36,0.96,0,3.52,2.14,0,2.29,0,2.54,1.79,1.75,0,0,0,0,0,17.09,0,0,0,0,0,0,0,0,6.39,0,0,0,39.55,0,0,0
YDR214W_mRNA,150.29,170.59,158.37,171.7,194.42,149.95,154.01,130.23,149.62,149.16,156.06,172.75,581.48,379.67,277.57,303.71,445.98,458.87,377.05,448.3,403.39,162.4,289.31,245.14,360.19,544.05,316.66,361.06,331.52,275.23,707.26,0,994.63,232.39
YOR023C_mRNA,18.7,17.39,21.73,20.28,25.01,20.18,16.87,23.77,16.94,16.79,18.9,19.75,3.36,48.58,31.31,31.67,33.66,8.6,0,7.69,22.7,104.19,42.19,0,28.51,73.48,20.88,11.91,31.58,70.63,43.51,0,0,0
YCR082W_mRNA,121.83,109.78,144.44,156.73,151.51,138.49,59.36,68.43,69.55,120.07,119.2,144.42,47.31,86.6,38.18,32.18,0,37.81,86,107.12,124.26,219.99,217.72,0,0,0,76.3,0,17.68,55.23,21.87,0,438.98,0
YLR109W_mRNA,1045.6,1399.26,1617.45,1664.74,1711.96,1476.57,862.87,1158.71,932.43,1586.93,1349.78,1720.13,1120.93,240.05,1881.9,1901.41,2022.51,1270.02,655.6,1555.57,1770.65,2964.05,1358.68,2732.96,2493.71,2139.97,1061.43,1255.9,1188.96,1068.17,1128.01,0,988.37,0
YHR093W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR074C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL046C_mRNA,24.18,23.94,35.32,32.58,24.7,24.93,47,16.86,44.05,29.65,38,37.67,249.09,0,24.15,20.36,0,16.76,0,0,0,0,197.46,0,0,0,56.38,38.26,30.44,15.31,0,0,56.15,0
YER087W_mRNA,27.7,25.3,21.81,16.74,26.66,32.22,17.76,24.26,35.66,26.66,23.64,24.72,42.45,0,0,0,0,9.05,0,52.57,44.34,0,50.32,0,0,0,17.75,6.26,6.92,8.26,6.54,0,5.05,0
YER093C-A_mRNA,9.24,8.09,2.98,9.43,7.51,13.96,50.03,19.22,16.75,3.16,7.77,5.21,0,0,13.82,11.65,0,63.72,0,0,0,0,0,0,0,0,28.58,5.83,3.87,0,0,0,0,0
YER093C-A_pre-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL160W_mRNA,32.91,22.68,23.35,24.67,24.07,24.9,12.06,20.18,14.12,22.4,22.28,23.06,0,0,46.99,39.61,0,34.4,72.4,7.69,6.49,0,0,0,0,0,16.87,11.91,13.17,15.7,15.55,0,33.6,0
YHL021C_mRNA,34.46,21.82,17.4,30.16,24.38,33.08,22.84,8.53,5.58,27.48,22.62,20.8,19.91,0,46.34,53.12,89.74,78.93,57.21,22.75,42.23,148.15,26.66,34.56,21.1,0,54.23,39.94,32.72,18.6,36.83,0,45.48,0
YHR198C_mRNA,23.87,30.1,24.7,24.74,25.02,21.49,28.37,26.64,26.9,28.69,31.78,27.68,22.61,0,26.25,22.13,0,0,0,6.45,5.44,0,52.02,0,0,0,18.9,19.97,22.07,26.39,5.23,0,104.88,0
YIL087C_mRNA,13.39,11.07,24.27,9.84,22.52,13.52,7.45,13.37,5.82,14.84,17.94,23.76,0,0,24.01,44.52,0,6.65,0,0,0,0,0,0,0,0,32.29,12.17,8.07,0,0,0,0,0
YAL049C_mRNA,82.97,111.19,108.6,98.62,89.07,82.71,65.29,91.56,60.8,86.1,90.48,89.18,14.01,0,55.18,68.44,140.3,22.39,0,63.8,121.1,434.26,35.16,0,0,0,60.24,32.94,49.15,81.77,77.72,0,69.99,0
YIL158W_mRNA,15.9,17.08,7.84,6.64,7.05,12.17,6.71,12.03,15.71,23.74,14.58,23.21,37.41,0,13.92,19.16,46.84,0,0,84.96,71.67,0,15.65,0,0,0,26.81,27.41,18.18,0,8.65,0,0,0
YIR003W_mRNA,18.19,19.15,21.87,21.61,22.08,19.5,19.65,12.4,12.79,18.35,16.44,17.89,21.31,109.94,15.6,17.93,30.49,50.61,0,25.01,40.82,127.1,7.64,0,0,0,33.46,25.17,31,42.65,53.49,0,0,0
