,Q5017_27-32nt,Q5019_27-32nt,Q5020_27-32nt,Q5033_27-32nt,Q5034_27-32nt,Q5035_27-32nt,Q5041_27-32nt,Q5042_27-32nt,Q5043_27-32nt,Q5334_27-32nt,Q5337_27-32nt,Q5338_27-32nt,R4816_27-32nt,R4816_37-43nt,R4816minus_20-23nt,R4816minus_20-32nt,R4816minus_27-32nt,R4819_27-32nt,R4819_37-43nt,R4819minus_20-23nt,R4819minus_20-32nt,R4819minus_27-32nt,R4869_27-32nt,R4869minus_20-23nt,R4869minus_20-32nt,R4869minus_27-32nt,R4870_27-32nt,R4870minus_20-23nt,R4870minus_20-32nt,R4870minus_27-32nt,R4902_27-32nt,R4902_37-43nt,R4903_27-32nt,R4903_37-43nt
YJR108W_mRNA,1.94,2.58,1.49,5.79,4.72,6.32,0,0,0,6.97,4.88,5.01,0,0,11.96,10.06,0,0,0,0,0,0,0,0,0,0,6.12,0,0,0,0,0,0,0
YCR088W_mRNA,85.63,74.65,61.26,85.88,81.03,80.3,64.83,56.39,84.19,72.5,62.13,70.52,240.86,0,176.09,182.39,214.06,206.43,236.71,196.67,169.61,25.38,128.61,109.32,67.06,0,158.03,164.52,152.11,126.59,123.43,0,211.11,39.35
YOR239W_pre-mRNA,54.32,48.67,44.55,42.38,54.56,47.91,33.85,51.96,47.59,46.02,44.21,50.64,63.19,87.15,83.17,78.74,54.74,106.59,57.75,77.31,68.7,22.72,65.33,195.77,140.12,51.47,76.43,67.34,61.78,50.35,65.59,0,188.95,35.2
YNR033W_mRNA,35.51,33.81,25.44,27.91,36.09,30.33,13.86,25.54,28.43,27.86,24.58,30.87,15.22,0,36.93,35.86,29.89,27.17,0,35.21,29.64,0,20.39,0,13.13,33.73,38.14,46.58,34.54,10.31,31.11,0,51.59,0
YMR289W_mRNA,20.63,19.08,12.38,12.98,12.71,22.12,0,13.92,12.39,12.5,16.56,19.87,0,68.26,50.97,41.49,0,0,180.92,20.09,16.92,0,58.32,10.17,6.24,0,21.96,9.84,6.57,0,0,0,73.8,0
YER045C_mRNA,2.41,2.61,2.52,4.89,7.18,2.13,0,1.75,3.5,3.36,4.71,5.08,8.75,0,8.15,6.86,0,0,0,0,0,0,0,0,0,0,5.17,4.95,3.3,0,0,0,0,0
YGR037C_mRNA,352.64,423.59,400.5,424.34,480.59,394.7,568.5,501.75,688.47,458.9,433.59,459.35,887.56,486.4,441.31,530.58,1005.5,713.57,787.83,375.07,315.77,0,1085.76,617.34,582.65,529.47,793.97,505.38,597.75,786.22,760.96,97.64,1388.32,2226.16
YNR016C_mRNA,481.1,515.67,511.59,474.26,510.37,472.2,339.6,433.89,438.21,492.83,486.18,511.51,326.7,260.31,377.97,381.89,398.15,328.32,235.88,368.16,375.84,411.92,416.87,474.51,473.65,468.25,361.54,380.74,359.75,314.68,315.11,144.71,306.49,118.6
YLR131C_mRNA,18.19,22.58,18.79,27.77,16.42,22.44,10.1,17.37,13.26,20.3,19.39,20.45,55.9,0,14.48,14.63,15.25,7.92,112.5,0,0,0,2.6,0,0,0,31.56,14.08,15.26,17.53,5.77,0,0,0
YLR144C_mRNA,19.23,21.27,15.58,19.24,24.1,18.91,29.99,13.5,11.48,20.32,19.85,28.18,0,0,21.5,21.72,22.63,52.88,0,7.11,17.95,75.13,33.44,0,0,0,26.15,24.37,22.07,17.35,28.54,0,21.7,0
YJR083C_mRNA,13.22,10.46,10.15,11.36,6.79,9.26,22.03,4.06,12.65,9.38,9.84,8.31,13.55,0,15.74,13.25,0,34.54,176.09,0,0,0,0,11.86,7.27,0,16.01,0,10.21,30.59,0,0,0,0
YBL015W_mRNA,36.17,41.84,36.37,29.69,38.5,55.27,25.49,26.08,27.87,32.14,32.57,39.07,73.72,51.08,64.95,61.48,42.74,94.33,0,85.47,131.21,372.49,83.81,0,70.29,180.86,48.36,36.95,46.07,63.89,76.82,0,116.8,0
YDL203C_mRNA,8.27,12.15,13.19,5.87,11.98,5.5,7.33,6,10.01,9.82,13.74,14.06,30.03,88.02,31.5,35.34,55.28,4.78,19.44,34.86,29.52,0,0,0,0,0,15.08,10.63,17.02,29.67,87.16,0,0,0
YPL267W_mRNA,29.07,22.56,16.06,42.85,25.42,27.22,0,13.92,21.69,22.33,16.25,23.25,116.15,0,40.75,39.68,28.51,14.8,0,79.92,134.56,425.93,38.89,0,99.32,257.36,27.45,26.1,21.77,13.11,0,0,0,111.1
YLR304C_mRNA,540.93,431.4,371.23,568.47,595.27,647.76,278.2,312.12,334.86,537.56,582.68,680.58,381.5,540.63,549.66,519.35,354.93,513.7,175.13,645.22,592.57,300.86,414.59,227.01,172.42,85.21,261.79,301.55,302.38,302.19,560.08,21.71,477.9,116.44
YJL200C_mRNA,92.74,92.57,81.92,96.44,99.99,104.42,71.14,86.14,99.68,98.35,109.37,125.73,94.17,142.34,73.21,72.35,67.11,56.14,125.75,147.53,138.99,92.83,78.82,101.4,202.99,361.78,82.57,103.27,103.35,102.89,39.5,0,60.05,0
YKL192C_mRNA,298.89,186.67,221.04,305.37,204.03,229.87,226.86,232.14,166.68,188.85,164.22,199.84,552.15,0,402.18,389.25,320.99,740.8,381.5,415.4,349.72,0,304.05,530.14,325.23,0,480.83,521.05,510.6,492.14,310.41,0,430.89,0
YAL054C_mRNA,1.67,1.49,0.58,1.12,0.3,1.63,0,0,0,0,1.25,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YLR153C_mRNA,498.8,454.35,404.57,432.85,434.88,467.68,203.14,312.46,401.61,403.7,422.09,485.39,502.91,693.3,691.36,718.82,863.3,460.85,510.43,813.19,921.37,1486.62,530.98,692.64,715.27,746.52,603.68,688.91,664.62,612.31,647.23,208.76,454.88,62.22
YFL039C_mRNA,6073.53,6239.92,6877.52,6166.5,6088.59,6513.41,5564.52,5844.33,5781.57,5834.68,6130.56,5920.42,4338.62,2686.83,3517.81,3413.68,2839.02,4216.23,1786.99,2681.34,2881.71,3927.24,4642.54,3469.89,3555.08,3673.32,4990.23,3876.41,4023.92,4300.49,4172.97,509.06,2860.09,1316.67
YFL039C_pre-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR448W_mRNA,20.29,21.71,21.29,18.35,21.52,22.04,10.01,15.37,19.16,22.1,13.25,18.22,10.26,0,7.34,6.19,0,42.51,0,53.29,44.86,0,51.53,0,49.67,127.89,36.38,14.5,17.42,23.17,66.71,0,0,0
YMR184W_mRNA,37.79,37.59,30.38,57.6,36.06,29.26,38.98,43.08,51.15,38.71,35.47,43.33,0,212.98,16.63,23.32,58.83,15.27,0,13.74,11.57,0,70.21,0,0,0,17,87.5,71.85,40.59,89.04,0,0,0
YKL206C_mRNA,98.04,108.52,93.05,89.76,110.22,95.65,34.44,86.34,49.43,99.07,85.48,92.3,35.29,52.06,45.03,75.79,238.24,140.58,91.99,10.15,85.42,485.36,147.71,29.98,122.9,268.83,118.88,114.34,82.92,19.92,98.35,0,0,0
YAR015W_mRNA,54.1,73.08,76.73,79.23,90.73,71.31,69.86,102.94,68.75,93.05,86.31,104.01,14.32,0,109.77,111.97,123.01,86.69,74.48,313.32,263.78,0,149.8,26.04,16.73,0,81.22,113.12,107.82,96.99,6.65,0,50.55,0
YNL220W_mRNA,60.95,60.37,55.89,74.69,70.75,84.72,70.11,52.73,89.12,82.05,79.17,74.46,26.94,0,45.14,42.21,26.45,20.6,0,142.96,120.34,0,72.16,122.79,75.33,0,21.65,103.59,87.44,54.75,35.03,0,98.92,0
YLR359W_mRNA,66.88,65.83,59.28,51.05,62.68,65.72,46.91,65.28,39.75,55.08,62.87,74.49,62.49,112.88,108.22,98.21,47.2,49.02,49.86,110.98,102.78,58.76,112.66,101.17,62.07,0,71.58,126.94,115.75,92.26,0,0,27.15,0
YLR028C_mRNA,89.44,85.02,67.85,85.91,67.66,75.79,73.89,83.92,66.66,68.13,67.65,72.6,128.72,133.18,88.15,92.02,111.52,98.92,58.83,87.49,81.03,46.28,129.92,146.23,106.02,41.94,117.23,89.37,82.63,68.39,189.89,0,240.58,0
YMR120C_mRNA,18.46,29.55,28.19,31.38,29.98,27.8,23.48,36.84,24.6,28.06,33.88,28.22,4.01,0,11.21,11.01,9.84,10.22,0,18.53,15.6,0,0,0,0,0,14.22,7.51,4.88,0,26.07,0,0,0
YOR128C_mRNA,6.57,6.54,4.54,12.23,15.17,11.11,2.85,0.87,3.5,11.11,15.55,17.52,0,0,6.12,5.15,0,0,0,15.17,12.77,0,0,0,0,0,0,4.95,6.61,9.88,56.92,0,0,0
YGR204W_mRNA,164.46,163.76,128.91,179.18,171.04,151.82,160.15,152.3,184.89,147.55,151.65,150.32,264.92,438.65,364.55,362.5,348.12,439.98,124.57,250.73,252.79,261.67,396.43,437.38,308.72,103.76,302.97,262.34,260.04,253.77,258.48,226.43,377.87,328.98
YMR300C_mRNA,70.34,76.39,73.34,61.31,82.83,68.21,50.18,65.89,85.73,84.36,79.56,84.94,4.29,0,89.84,89.05,84.14,68.27,0,39.59,37.5,26.19,60.97,135.35,83.03,0,76.98,50.92,45.3,33.86,91.54,0,72.61,0
YGL234W_mRNA,150.13,158.22,153.76,122.06,150.45,128.19,169.59,132.91,148.1,159.92,163.09,174.67,85.88,251.51,144.4,158.19,240.91,129,47.62,230.53,217.97,149.96,112.95,328.69,340.21,356.78,155.87,215.48,219.13,225.08,128.19,0,376.81,29.02
YGR061C_mRNA,179.08,199.11,186.92,151.12,172.33,179.01,152.94,194.04,244.51,189.85,193.95,220.48,159.8,139.65,155.26,154.5,148.78,149.83,104.39,206.27,209.24,224.52,213.7,229.39,229.92,228.93,229.67,155.25,195.34,273.73,155.25,181.03,199.72,0
YDR408C_mRNA,77.12,99,91.08,86.68,81.58,68.92,64.67,73.45,79.56,107.03,89.35,99.49,129.23,58.74,115.16,135.68,244,31.68,0,262.62,249.95,182.27,216.33,537.79,340.56,27.53,119.83,146.35,116.65,56.12,175.43,0,28.08,0
YCL058W-A_mRNA,18.86,27.66,24,28.83,41.6,17.43,64.52,43.58,68.79,25.93,33.1,29.46,0,0,81.94,107.27,243.45,0,0,180.54,152,0,149.43,0,231.38,604.35,14.07,88.46,95.91,111.98,0,0,0,0
YOL086C_mRNA,8485.43,8310.96,7316.74,7459.98,7863.29,7212.19,7959.8,7869.43,8134.23,7970.33,8502.9,8673.84,8245.08,2037.3,7793.54,8541.86,12436.93,7317.6,1319.94,8113.06,8676.31,11609.72,10672.98,14299.24,13418.89,11967.65,11035.56,9261.28,8915.67,8195.1,10704.48,2985.49,9781.47,2193.95
YMR303C_mRNA,1.43,1.11,2.8,5.19,4.05,0,0,0,0,0.63,2.53,1.59,23.43,0,26.38,32.59,59.69,9.56,0,31.95,33.53,44.85,19.37,26.45,23.38,18.04,16.6,20.41,16.95,10.63,109,0,0,0
YMR083W_mRNA,205.51,173.64,162.96,183.7,165.68,153.09,72.43,221.46,327.91,179.81,154.36,173.97,155.88,0,256.9,245.94,185.84,170.29,115.43,144.17,134.35,81.66,78.28,186.34,287.14,444.05,167.37,117.86,147.68,206.15,182,0,125.78,168.85
YGL256W_mRNA,9.56,5.09,5.12,5.96,5.26,4.77,5.78,1.77,2.37,5.12,8.84,6.6,0,0,0,3.48,21.8,0,0,0,0,0,0,0,43.02,110.7,7.35,5.03,3.35,0,0,0,0,0
YBR145W_mRNA,6.34,14.94,11.14,13.41,10.95,20.22,8.67,14.64,8.89,11.79,11.84,20.23,0,0,10.24,8.55,0,0,0,114.57,97.73,0,0,46.9,25.95,0,9.46,11.3,7.54,0,0,0,0,0
YMR318C_mRNA,234.21,308.29,298.81,234.3,252.6,264.08,262.51,233.34,231.36,273.28,227.87,263.27,240.91,0,190.49,193.31,206.97,284.03,0,263.88,268.93,294.48,206.68,105.51,97.09,83.41,193.61,136.1,138.48,142.79,212.57,255.9,170.1,0
YCR105W_mRNA,0.6,0.3,1.38,0.67,3.27,0,0,1.19,0,1.38,1.61,1.16,0,0,0,0,0,15.24,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0
YMR009W_mRNA,87.49,104.46,79.89,110.52,105.53,98.9,54.9,65.01,64.33,111.26,89.54,101.98,108.51,357.16,50.22,46.93,29.59,176.72,378.65,110.56,93.08,0,111,251.96,154.57,0,179.53,74.48,112.95,190.56,89.58,0,204.3,0
YDR226W_mRNA,942.1,967.04,956.69,931.62,747.97,809.29,1007.79,965.41,906.22,822.5,782.54,884.6,653.28,330.6,670.53,702.66,870.48,695.86,48.68,835.51,784.73,513.34,921.73,1140.87,969.78,697.9,699.27,767.28,802.97,874.51,1135.52,0,1331.05,0
YER170W_mRNA,25.69,22.46,25.1,14.78,23.4,12.15,10.12,20.19,31.12,23.32,29.72,30.13,46.66,0,25.28,21.27,0,39.65,0,0,0,0,45.56,0,0,0,7.35,60.96,43.51,8.78,0,0,0,0
YJR105W_mRNA,732.73,707.81,620.99,553.18,620.32,604.95,519.83,639.79,739.26,628.63,599.33,694.42,623.15,86.35,606.7,630.91,773.78,780.23,228.86,758.59,717.65,492.87,1129.05,1295.45,1274.7,1238.6,959.99,732.55,905.35,1249.79,701.34,0,1335.47,1185.59
YCR011C_mRNA,41.62,39.5,39.95,35.42,34.98,36.53,26.35,30.93,43.22,39.76,35.77,41.23,52.42,0,27.16,28.32,35.09,37.95,0,2.48,16.2,87.37,19.94,87.96,123.34,178.17,35.48,63.48,50.46,24.21,48.68,0,3.36,0
YDR216W_mRNA,8.48,4.87,5.97,16.63,15.45,15.81,0,1.88,6.03,6.66,5.88,9.48,1.88,0,3.52,2.96,0,2.4,0,6.54,5.51,0,0,0,0,0,2.67,0,0,0,3.5,0,0,17.79
YCR010C_mRNA,0,0.72,0.42,0.81,0,0,0,0,0,0.56,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL239C_mRNA,0.46,0.6,0.35,1.36,0,0.3,0,0,0,0.23,1.14,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YLR227C_mRNA,4.15,4.36,3.98,4.63,11.33,4.95,0,1.84,6.14,8.14,7.68,6.84,0,0,0,0,0,5.87,0,0,0,0,0,0,0,0,0,0,3.48,10.39,38.48,0,0,0
YMR064W_mRNA,16.34,17.57,20.59,26.9,18.5,19.39,25.83,15.86,14.12,20.74,28.02,19.94,8.82,0,14.39,12.11,0,8.43,0,0,0,0,0,0,0,0,12.51,4.99,11.66,24.9,0,0,0,0
YMR282C_mRNA,10.8,9.16,9.68,11.62,11.66,10.93,18.2,9.58,8.53,14.14,10.54,12.13,15.99,0,16.77,18.82,29.44,5.1,0,4.62,3.89,0,0,98.24,60.27,0,13.23,0,0,0,40.84,0,0,0
YPL005W_mRNA,4.62,6.9,4.88,2.58,2.81,4.88,10.01,2.3,3.08,2.96,2.9,3.48,19.23,0,0,0,0,0,0,4.44,3.74,0,0,0,0,0,0,21.78,14.53,0,0,0,0,0
YLR040C_mRNA,16.08,10.06,16.4,8.21,6.7,17.93,0,1.83,7.35,178.64,207.54,247.21,0,487.77,4.26,3.58,0,11.7,239.41,0,0,0,0,0,0,0,10.85,10.34,6.9,0,0,0,0,0
YEL052W_mRNA,27.13,29.47,19.49,30.57,33.55,33.99,19.41,23.83,25.21,25.24,20.07,25.69,0,0,18.52,19.49,24.41,53.88,0,154.17,140.03,60.79,37.46,0,112.34,289.24,22.33,50.62,41.28,22.46,0,0,7.02,0
YLR397C_mRNA,27.51,31.51,23.75,27.51,24.77,19.97,24.95,33.18,27.28,26.79,21.5,26.41,76.69,18.72,94.15,93.02,86.28,42.77,0,81.28,93.32,156.25,48.15,39.29,24.11,0,49.1,54.31,55.56,57.73,65.3,0,72.2,30.24
YER017C_mRNA,22.93,24.07,23.51,31.23,21.46,25.13,18.38,18.8,18.42,16.66,16.39,24.93,50.22,0,24.89,23.41,15.41,22,0,50.81,42.77,0,2.63,44.11,27.06,0,11.13,56.9,42.71,14.17,43.73,0,35.46,0
YOR129C_mRNA,5.68,5.52,2.65,3.32,5.18,5.28,1.76,2.16,3.61,5.2,3.35,5.24,13.52,0,3.78,3.18,0,8.61,0,0,0,0,0,0,0,0,3.19,1.53,2.05,3.05,2.51,0,0,0
YDR085C_mRNA,4.72,3,1.74,5.48,6.19,6.99,0,1.51,3.02,5.22,4.26,4.87,0,0,14.06,11.83,0,0,97.63,0,0,0,0,0,0,0,4.46,0,0,0,0,0,42.59,0
YGL071W_mRNA,7.21,8.7,11.65,10.35,8.44,4.02,4.46,15.06,15.54,10.28,9.22,11.51,10.28,0,7.99,8.07,8.41,0,0,23.77,20.01,0,14.34,0,0,0,28.36,5.82,6.48,7.74,0,0,0,0
YPL202C_mRNA,19.98,14.97,21.38,27.82,18.84,19.26,6.11,21.57,11.28,24.2,22.24,20.62,4.7,0,30.62,25.77,0,41.9,24.35,21.69,18.26,0,39.31,0,0,0,26.64,7.97,5.32,0,0,0,46.42,0
YNR044W_mRNA,12.96,13.71,15.3,2.93,4.48,4.16,4.27,15.06,14.87,7.82,6.53,8.04,26.23,0,3.06,2.57,0,2.09,0,26.53,22.34,0,0,11.52,7.07,0,6.98,35.29,38.42,44.42,0,0,0,0
YGL032C_mRNA,37.7,36.71,30.48,28.67,36.54,53.22,0,54.41,4.28,1.23,3.45,0,16.03,0,73.83,80.78,118.03,30.64,337.3,18.3,15.41,0,67.08,305.87,187.65,0,64.4,62.76,101.71,180.95,59.55,0,0,0
YPR021C_mRNA,13.46,11.25,15.03,9.92,15.44,17.07,1.75,9.66,8.61,12.82,14.47,19.44,0,0,12.55,10.56,0,1.71,0,0,0,0,0,0,0,0,8.26,0,3.05,9.11,42.45,0,3.8,0
YDR524C_mRNA,16.44,10.75,11.9,14.17,9.41,14.21,12.21,10.31,15.02,14.44,8.59,16.67,0,0,15.3,12.88,0,0,0,54.18,45.62,0,0,0,0,0,8.87,5.31,14.17,31.79,0,0,6.63,0
YIL044C_mRNA,73.19,74.66,72.35,72.65,90.24,83.66,81.68,61.95,65.02,77.25,82.28,93.47,155.1,0,75.48,69.3,36.26,56.48,0,136.07,114.56,0,43.27,0,23.78,61.37,43.64,87.41,75.04,50.03,20.58,0,156.44,0
YCL025C_mRNA,80.45,90.07,90.22,67.02,78.02,90.97,81.54,119.04,96.42,81.1,83.98,87.2,60.06,139.74,168.83,174.52,194.99,129.83,164.62,158.26,195.68,339.83,94.85,48.8,68.43,99.01,76.84,90.75,67.49,22.42,81.16,0,95.35,0
YBR132C_mRNA,12.7,16.13,8.55,17.02,21,16.39,20.31,6.24,6.25,12.01,11.34,11.34,23.42,0,18.19,16.84,9.58,57.21,0,0,7.59,47.71,16.34,0,0,0,8.3,13.26,8.85,0,0,0,0,0
YFL055W_mRNA,2.07,1.44,2.38,0.92,2.26,2.83,0,3.3,0,0.95,1.11,1.87,24.81,0,7.71,6.49,0,0,0,0,8.04,50.55,0,0,0,0,0.98,0,0,0,0,0,0,0
YFL030W_mRNA,1.3,1.62,1.12,0,4.15,2.54,0,2.59,0,3,2.1,2.1,0,0,0,0,0,20.7,0,0,0,0,0,0,0,0,7.68,0,0,0,48.27,0,0,0
YDR214W_mRNA,177.47,203.51,185.25,197.12,228.7,177.8,169.79,147.47,173.22,175.76,183.3,207.58,706.63,374.44,337.45,368.7,531.28,555.81,330.81,550.32,494.2,194.54,351.67,301,444.48,670.01,380.69,420.64,388.6,323.42,863.27,0,1195.63,181.46
YOR023C_mRNA,22.08,20.74,25.42,23.28,29.42,23.93,18.6,26.92,19.61,19.79,22.2,23.73,4.08,47.91,38.07,38.44,40.1,10.41,0,9.44,27.8,124.81,51.28,0,35.18,90.5,25.1,13.87,37.02,83,53.11,0,0,0
YCR082W_mRNA,143.86,130.96,168.95,179.94,178.22,164.21,65.45,77.5,80.52,141.48,140.01,173.54,57.49,85.41,46.42,39.07,0,45.8,75.45,131.5,152.23,263.52,264.65,0,0,0,91.72,0,20.73,64.91,26.7,0,527.69,0
YLR109W_mRNA,1234.69,1669.27,1891.93,1911.27,2013.75,1750.83,951.3,1312.16,1079.48,1869.86,1585.38,2066.94,1362.19,236.75,2287.9,2308.25,2409.36,1538.34,575.21,1909.57,2169.24,3550.54,1651.54,3355.76,3077.31,2635.43,1276.07,1463.15,1393.67,1255.2,1376.84,0,1188.1,0
YHR093W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR074C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL046C_mRNA,28.55,28.56,41.31,37.4,29.05,29.56,51.82,19.09,51,34.93,44.63,45.26,302.7,0,29.36,24.71,0,20.31,0,0,0,0,240.02,0,0,0,67.78,44.57,35.69,17.99,0,0,67.49,0
YER087W_mRNA,32.7,30.18,25.52,19.22,31.36,38.2,19.58,27.47,41.29,31.41,27.76,29.7,51.59,0,0,0,0,10.96,0,64.53,54.32,0,61.17,0,0,0,21.34,7.3,8.12,9.71,7.99,0,6.07,0
YER093C-A_mRNA,10.91,9.65,3.49,10.83,8.83,16.56,55.15,21.77,19.39,3.73,9.13,6.26,0,0,16.8,14.14,0,77.19,0,0,0,0,0,0,0,0,34.35,6.8,4.54,0,0,0,0,0
YER093C-A_pre-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL160W_mRNA,38.86,27.06,27.31,28.32,28.32,29.53,13.29,22.85,16.35,26.4,26.17,27.7,0,0,57.13,48.08,0,41.67,63.52,9.44,7.95,0,0,0,0,0,20.28,13.88,15.43,18.45,18.98,0,40.39,0
YHL021C_mRNA,40.69,26.02,20.36,34.62,28.68,39.22,25.19,9.66,6.46,32.38,26.57,25,24.2,0,56.34,64.48,106.91,95.61,50.2,27.93,51.73,177.46,32.4,42.44,26.03,0,65.2,46.53,38.35,21.85,44.95,0,54.67,0
YHR198C_mRNA,28.19,35.91,28.89,28.41,29.43,25.49,31.27,30.17,31.15,33.8,37.33,33.26,27.47,0,31.92,26.86,0,0,0,7.91,6.66,0,63.23,0,0,0,22.73,23.26,25.87,31.01,6.38,0,126.07,0
YIL087C_mRNA,15.81,13.21,28.39,11.3,26.49,16.04,8.22,15.14,6.74,17.49,21.08,28.55,0,0,29.19,54.05,0,8.05,0,0,0,0,0,0,0,0,38.82,14.18,9.46,0,0,0,0,0
YAL049C_mRNA,97.97,132.65,127.03,113.22,104.77,98.08,71.98,103.68,70.39,101.46,106.27,107.16,17.02,0,67.08,83.08,167.13,27.12,0,78.32,148.36,520.19,42.74,0,0,0,72.42,38.37,57.61,96.09,94.86,0,84.13,0
YIL158W_mRNA,18.77,20.37,9.17,7.62,8.29,14.43,7.39,13.62,18.19,27.97,17.13,27.89,45.46,0,16.92,23.27,55.79,0,0,104.29,87.8,0,19.03,0,0,0,32.24,31.94,21.31,0,10.56,0,0,0
YIR003W_mRNA,21.48,22.84,25.58,24.81,25.97,23.12,21.66,14.04,14.8,21.62,19.31,21.5,25.9,108.43,18.97,21.77,36.32,61.3,0,30.7,50.01,152.25,9.29,0,0,0,40.22,29.33,36.34,50.12,65.29,0,0,0
